,Unnamed: 0.3,Câu lệnh sinh ra,Câu lệnh có sẵn
700,700,hãy mở báo cáo dữ liệu th ngày hôm nay,Mở dữ liệu TH ngày 
701,701,mở ngay bc dữ liệu thực hiện ngày hôm nay,Mở dữ liệu TH ngày 
702,702,xin mở báo cáo dữ liệu th ngày đó,Mở dữ liệu TH ngày 
703,703,mong rằng bạn có thể mở dl thực hiện ngày đó,Mở dữ liệu TH ngày 
704,704,làm ơn mở báo cáo dữ liệu th ngày hôm qua,Mở dữ liệu TH ngày 
705,705,có thể bạn mở dữ liệu thực hiện ngày hôm qua không?,Mở dữ liệu TH ngày 
706,706,đề nghị mở báo cáo dữ liệu th ngày mai,Mở dữ liệu TH ngày 
707,707,mọi người sẽ mong bạn mở dữ liệu thực hiện ngày mai,Mở dữ liệu TH ngày 
708,708,hãy mở bc dữ liệu th ngày kia,Mở dữ liệu TH ngày 
709,709,mong rằng bạn có thể mở dữ liệu thực hiện ngày kia,Mở dữ liệu TH ngày 
710,710,làm ơn mở bc dữ liệu th ngày kế tiếp,Mở dữ liệu TH ngày 
711,711,có thể bạn mở dữ liệu thực hiện ngày kế tiếp không?,Mở dữ liệu TH ngày 
712,712,đề nghị mở báo cáo dl th ngày này,Mở dữ liệu TH ngày 
713,713,mọi người sẽ mong bạn mở dữ liệu thực hiện ngày này,Mở dữ liệu TH ngày 
714,714,hãy mở báo cáo dữ liệu th ngày đó,Mở dữ liệu TH ngày 
715,715,mong rằng bạn có thể mở dữ liệu thực hiện ngày đó,Mở dữ liệu TH ngày 
716,716,làm ơn mở báo cáo dữ liệu th ngày trước,Mở dữ liệu TH ngày 
717,717,có thể bạn mở dữ liệu thực hiện ngày trước không?,Mở dữ liệu TH ngày 
718,718,đề nghị mở báo cáo dữ liệu th ngày trước kia,Mở dữ liệu TH ngày 
719,719,mọi người sẽ mong bạn mở dữ liệu thực hiện ngày trước kia,Mở dữ liệu TH ngày 
720,720,hãy mở báo cáo dữ liệu th ngày sau,Mở dữ liệu TH ngày 
721,721,mong rằng bạn có thể mở dữ liệu thực hiện ngày sau,Mở dữ liệu TH ngày 
722,722,làm ơn mở bc dl th ngày sau kia,Mở dữ liệu TH ngày 
723,723,có thể bạn mở dl thực hiện ngày sau kia không?,Mở dữ liệu TH ngày 
724,724,đề nghị mở báo cáo dữ liệu th ngày tới,Mở dữ liệu TH ngày 
725,725,mọi người sẽ mong bạn mở dữ liệu thực hiện ngày tới,Mở dữ liệu TH ngày 
726,726,hãy mở bc dữ liệu th ngày trước hôm nay,Mở dữ liệu TH ngày 
727,727,mong rằng bạn có thể mở dữ liệu thực hiện ngày trước hôm nay,Mở dữ liệu TH ngày 
728,728,làm ơn mở báo cáo dữ liệu th ngày sau hôm nay,Mở dữ liệu TH ngày 
729,729,có thể bạn mở dữ liệu thực hiện ngày sau hôm nay không?,Mở dữ liệu TH ngày 
730,730,đề nghị mở báo cáo dl th ngày trước đó,Mở dữ liệu TH ngày 
731,731,mọi người sẽ mong bạn mở dl thực hiện ngày trước đó,Mở dữ liệu TH ngày 
732,732,hãy mở bc dữ liệu th ngày sau đó,Mở dữ liệu TH ngày 
733,733,mong rằng bạn có thể mở dữ liệu thực hiện ngày sau đó,Mở dữ liệu TH ngày 
734,734,làm ơn mở báo cáo dl th ngày này,Mở dữ liệu TH ngày 
735,735,có thể bạn mở dl thực hiện ngày này không?,Mở dữ liệu TH ngày 
736,736,đề nghị mở báo cáo dữ liệu th ngày này năm,Mở dữ liệu TH ngày 
737,737,mọi người sẽ mong bạn mở dữ liệu thực hiện ngày này năm,Mở dữ liệu TH ngày 
738,738,hãy mở báo cáo dữ liệu th ngày trước kia năm,Mở dữ liệu TH ngày 
739,739,mong rằng bạn có thể mở dl thực hiện ngày trước kia năm,Mở dữ liệu TH ngày 
740,740,làm ơn mở bc dữ liệu th ngày sau kia năm,Mở dữ liệu TH ngày 
741,741,có thể bạn mở dữ liệu thực hiện ngày sau kia năm không?,Mở dữ liệu TH ngày 
742,742,đề nghị mở báo cáo dữ liệu th ngày hai năm trước,Mở dữ liệu TH ngày 
743,743,mọi người sẽ mong bạn mở dữ liệu thực hiện ngày hai năm trước,Mở dữ liệu TH ngày 
744,744,hãy mở bc dl th ngày hai năm sau,Mở dữ liệu TH ngày 
745,745,mong rằng bạn có thể mở dữ liệu thực hiện ngày hai năm sau,Mở dữ liệu TH ngày 
746,746,làm ơn mở bc dl th ngày ba năm trước,Mở dữ liệu TH ngày 
747,747,có thể bạn mở dữ liệu thực hiện ngày ba năm trước không?,Mở dữ liệu TH ngày 
748,748,đề nghị mở bc dữ liệu th ngày ba năm sau,Mở dữ liệu TH ngày 
749,749,mọi người sẽ mong bạn mở dl thực hiện ngày ba năm sau,Mở dữ liệu TH ngày 
750,750,vui lòng mở báo cáo dữ liệu thực hiện tháng,Mở dữ liệu TH tháng 
751,751,hãy mở báo cáo dữ liệu th tháng,Mở dữ liệu TH tháng 
752,752,xin hãy mở dữ liệu th tháng,Mở dữ liệu TH tháng 
753,753,hãy mở dữ liệu thực hiện tháng cho tôi,Mở dữ liệu TH tháng 
754,754,mở báo cáo dữ liệu thực hiện tháng giúp tôi,Mở dữ liệu TH tháng 
755,755,vui lòng mở bc dl th tháng được không?,Mở dữ liệu TH tháng 
756,756,hãy mở dữ liệu th tháng giúp tôi,Mở dữ liệu TH tháng 
757,757,mong bạn mở dl thực hiện tháng cho tôi,Mở dữ liệu TH tháng 
758,758,mở báo cáo dữ liệu thực hiện tháng giùm tôi,Mở dữ liệu TH tháng 
759,759,vui lòng mở báo cáo dữ liệu th tháng dùm tôi,Mở dữ liệu TH tháng 
760,760,mở dữ liệu th tháng giúp tôi được không?,Mở dữ liệu TH tháng 
761,761,hãy mở dữ liệu thực hiện tháng cho tôi nhé,Mở dữ liệu TH tháng 
762,762,mong bạn mở bc dl thực hiện tháng giúp tôi,Mở dữ liệu TH tháng 
763,763,mở báo cáo dữ liệu th tháng giùm tôi nhé,Mở dữ liệu TH tháng 
764,764,vui lòng mở báo cáo dữ liệu thực hiện tháng giúp tôi được không?,Mở dữ liệu TH tháng 
765,765,mở dữ liệu th tháng cho tôi được không?,Mở dữ liệu TH tháng 
766,766,hãy mở dữ liệu thực hiện tháng giúp tôi nhé,Mở dữ liệu TH tháng 
767,767,mong bạn mở báo cáo dữ liệu th tháng cho tôi,Mở dữ liệu TH tháng 
768,768,mở bc dl thực hiện tháng giùm tôi nhé,Mở dữ liệu TH tháng 
769,769,vui lòng mở bc dữ liệu th tháng dùm tôi nhé,Mở dữ liệu TH tháng 
770,770,mở dữ liệu th tháng giúp tôi được không?,Mở dữ liệu TH tháng 
771,771,hãy mở dữ liệu thực hiện tháng cho tôi nhé,Mở dữ liệu TH tháng 
772,772,mong bạn mở báo cáo dữ liệu thực hiện tháng giúp tôi được,Mở dữ liệu TH tháng 
773,773,mở báo cáo dữ liệu th tháng giùm tôi nhé,Mở dữ liệu TH tháng 
774,774,vui lòng mở báo cáo dl thực hiện tháng giúp tôi được không?,Mở dữ liệu TH tháng 
775,775,mở dữ liệu th tháng cho tôi được không?,Mở dữ liệu TH tháng 
776,776,hãy mở dữ liệu thực hiện tháng giúp tôi nhanh nhé,Mở dữ liệu TH tháng 
777,777,mong bạn mở báo cáo dữ liệu th tháng cho tôi nhanh nhanh,Mở dữ liệu TH tháng 
778,778,mở bc dữ liệu thực hiện tháng giùm tôi nhanh nhanh nhé,Mở dữ liệu TH tháng 
779,779,vui lòng mở báo cáo dữ liệu th tháng dùm tôi nhanh nhé,Mở dữ liệu TH tháng 
780,780,mở dữ liệu th tháng giúp tôi được không nhanh nhé?,Mở dữ liệu TH tháng 
781,781,"hãy mở dữ liệu thực hiện tháng cho tôi nhé, càng sớm càng tốt",Mở dữ liệu TH tháng 
782,782,"mong bạn mở báo cáo dl th tháng cho tôi, gấp gấp",Mở dữ liệu TH tháng 
783,783,"mở báo cáo dữ liệu thực hiện tháng giùm tôi, nhanh nhanh",Mở dữ liệu TH tháng 
784,784,"vui lòng mở báo cáo dữ liệu thực hiện tháng giúp tôi được không, nhanh nhanh?",Mở dữ liệu TH tháng 
785,785,"mở dữ liệu th tháng cho tôi được không, càng sớm càng tốt?",Mở dữ liệu TH tháng 
786,786,"hãy mở dữ liệu thực hiện tháng cho tôi nhé, gấp gấp",Mở dữ liệu TH tháng 
787,787,"mong bạn mở báo cáo dữ liệu th tháng cho tôi, nhanh nhanh nhé",Mở dữ liệu TH tháng 
788,788,"mở báo cáo dữ liệu thực hiện tháng giùm tôi, nhanh nhanh nhé",Mở dữ liệu TH tháng 
789,789,"vui lòng mở báo cáo dữ liệu th tháng dùm tôi, càng sớm càng tốt",Mở dữ liệu TH tháng 
790,790,"mở dữ liệu th tháng giúp tôi được không, gấp gấp nhé?",Mở dữ liệu TH tháng 
791,791,"hãy mở dữ liệu thực hiện tháng cho tôi nhé, nhanh nhanh nhanh",Mở dữ liệu TH tháng 
792,792,"mong bạn mở báo cáo dữ liệu th tháng cho tôi, nhanh nhanh nhanh",Mở dữ liệu TH tháng 
793,793,"mở bc dữ liệu thực hiện tháng giùm tôi, gấp gấp nhé",Mở dữ liệu TH tháng 
794,794,"vui lòng mở bc dữ liệu th tháng dùm tôi, càng sớm càng tốt nhé",Mở dữ liệu TH tháng 
795,795,"mở dữ liệu th tháng giúp tôi được không, nhanh nhanh nhanh nhé?",Mở dữ liệu TH tháng 
796,796,"hãy mở dữ liệu thực hiện tháng cho tôi nhé, gấp gấp gấp",Mở dữ liệu TH tháng 
797,797,"mong bạn mở báo cáo dl th tháng cho tôi, nhanh nhanh nhanh nhé",Mở dữ liệu TH tháng 
798,798,"mở báo cáo dl thực hiện tháng giùm tôi, gấp gấp gấp nhé",Mở dữ liệu TH tháng 
799,799,"vui lòng mở báo cáo dl th tháng dùm tôi, càng sớm càng tốt nhé",Mở dữ liệu TH tháng 
800,800,hãy mở chỉ tiêu nhập vào,Mở chỉ tiêu import 
801,801,vui lòng mở ct import,Mở chỉ tiêu import 
802,802,bạn cần mở báo cáo chỉ tiêu nhập,Mở chỉ tiêu import 
803,803,anh/chị hãy mở chỉ tiêu nhập,Mở chỉ tiêu import 
804,804,xin hãy mở bc chỉ tiêu import,Mở chỉ tiêu import 
805,805,hãy mở các ct nhập vào,Mở chỉ tiêu import 
806,806,vui lòng mở các ct import,Mở chỉ tiêu import 
807,807,bạn cần mở các bc chỉ tiêu nhập,Mở chỉ tiêu import 
808,808,anh/chị hãy mở các ct nhập,Mở chỉ tiêu import 
809,809,xin hãy mở các bc chỉ tiêu import,Mở chỉ tiêu import 
810,810,mở bc về chỉ tiêu nhập,Mở chỉ tiêu import 
811,811,vui lòng mở báo cáo về chỉ tiêu import,Mở chỉ tiêu import 
812,812,bạn cần mở báo cáo chỉ tiêu nhập vào,Mở chỉ tiêu import 
813,813,anh/chị hãy mở bc chỉ tiêu nhập vào,Mở chỉ tiêu import 
814,814,xin hãy mở báo cáo chỉ tiêu import vào,Mở chỉ tiêu import 
815,815,mở bảng chỉ tiêu nhập,Mở chỉ tiêu import 
816,816,vui lòng mở bảng chỉ tiêu import,Mở chỉ tiêu import 
817,817,bạn cần mở bảng bc chỉ tiêu nhập,Mở chỉ tiêu import 
818,818,anh/chị hãy mở bảng chỉ tiêu nhập,Mở chỉ tiêu import 
819,819,xin hãy mở bảng bc ct import,Mở chỉ tiêu import 
820,820,mở chi tiết về ct nhập,Mở chỉ tiêu import 
821,821,vui lòng mở chi tiết về chỉ tiêu import,Mở chỉ tiêu import 
822,822,bạn cần mở chi tiết báo cáo chỉ tiêu nhập,Mở chỉ tiêu import 
823,823,anh/chị hãy mở chi tiết chỉ tiêu nhập,Mở chỉ tiêu import 
824,824,xin hãy mở chi tiết báo cáo chỉ tiêu import,Mở chỉ tiêu import 
825,825,mở danh sách ct nhập,Mở chỉ tiêu import 
826,826,vui lòng mở danh sách chỉ tiêu import,Mở chỉ tiêu import 
827,827,bạn cần mở danh sách báo cáo chỉ tiêu nhập,Mở chỉ tiêu import 
828,828,anh/chị hãy mở danh sách chỉ tiêu nhập,Mở chỉ tiêu import 
829,829,xin hãy mở danh sách bc ct import,Mở chỉ tiêu import 
830,830,mở file về chỉ tiêu nhập,Mở chỉ tiêu import 
831,831,vui lòng mở file về chỉ tiêu import,Mở chỉ tiêu import 
832,832,bạn cần mở file báo cáo chỉ tiêu nhập,Mở chỉ tiêu import 
833,833,anh/chị hãy mở file chỉ tiêu nhập,Mở chỉ tiêu import 
834,834,xin hãy mở file bc chỉ tiêu import,Mở chỉ tiêu import 
835,835,mở thông tin về ct nhập,Mở chỉ tiêu import 
836,836,vui lòng mở thông tin về chỉ tiêu import,Mở chỉ tiêu import 
837,837,bạn cần mở thông tin bc ct nhập,Mở chỉ tiêu import 
838,838,anh/chị hãy mở thông tin ct nhập,Mở chỉ tiêu import 
839,839,xin hãy mở thông tin báo cáo ct import,Mở chỉ tiêu import 
840,840,mở biểu đồ về chỉ tiêu nhập,Mở chỉ tiêu import 
841,841,vui lòng mở biểu đồ về chỉ tiêu import,Mở chỉ tiêu import 
842,842,bạn cần mở biểu đồ bc ct nhập,Mở chỉ tiêu import 
843,843,anh/chị hãy mở biểu đồ ct nhập,Mở chỉ tiêu import 
844,844,xin hãy mở biểu đồ báo cáo ct import,Mở chỉ tiêu import 
845,845,mở kết quả về chỉ tiêu nhập,Mở chỉ tiêu import 
846,846,vui lòng mở kết quả về chỉ tiêu import,Mở chỉ tiêu import 
847,847,bạn cần mở kết quả báo cáo ct nhập,Mở chỉ tiêu import 
848,848,anh/chị hãy mở kq chỉ tiêu nhập,Mở chỉ tiêu import 
849,849,xin hãy mở kq báo cáo chỉ tiêu import,Mở chỉ tiêu import 
850,850,hãy mở ct ct ngay,Mở công thức chỉ tiêu 
851,851,hãy mở ct chỉ tiêu lên rồi,Mở công thức chỉ tiêu 
852,852,xem ct chỉ tiêu nào,Mở công thức chỉ tiêu 
853,853,hãy mở bc công thức chỉ tiêu cho tôi,Mở công thức chỉ tiêu 
854,854,hãy xem bc ct chỉ tiêu kế toán,Mở công thức chỉ tiêu 
855,855,báo cáo công thức chỉ tiêu ở đâu vậy,Mở công thức chỉ tiêu 
856,856,mở ngay công thức chỉ tiêu kế toán,Mở công thức chỉ tiêu 
857,857,hãy mở ct chỉ tiêu chuẩn trong hệ thống,Mở công thức chỉ tiêu 
858,858,hãy xem công thức chỉ tiêu kế hoạch,Mở công thức chỉ tiêu 
859,859,hãy mở công thức chỉ tiêu đánh giá,Mở công thức chỉ tiêu 
860,860,trình lên ct chỉ tiêu kế hoạch,Mở công thức chỉ tiêu 
861,861,cung cấp bc công thức chỉ tiêu,Mở công thức chỉ tiêu 
862,862,vui lòng mở ct chỉ tiêu kết quả,Mở công thức chỉ tiêu 
863,863,hôm nay bạn mở công thức chỉ tiêu gì,Mở công thức chỉ tiêu 
864,864,có công thức chỉ tiêu gì mới không?,Mở công thức chỉ tiêu 
865,865,hãy xem công thức chỉ tiêu cuối cùng,Mở công thức chỉ tiêu 
866,866,mở công thức chỉ tiêu theo tiêu chí nào,Mở công thức chỉ tiêu 
867,867,mở báo cáo ct chỉ tiêu theo thời gian,Mở công thức chỉ tiêu 
868,868,có báo cáo công thức chỉ tiêu nào không?,Mở công thức chỉ tiêu 
869,869,mở công thức chỉ tiêu dự án,Mở công thức chỉ tiêu 
870,870,xem công thức ct kế hoạch tài chính,Mở công thức chỉ tiêu 
871,871,hãy mở bc ct chỉ tiêu sản xuất,Mở công thức chỉ tiêu 
872,872,báo cáo công thức chỉ tiêu đâu rồi?,Mở công thức chỉ tiêu 
873,873,mở công thức ct tiết kiệm năng lượng,Mở công thức chỉ tiêu 
874,874,xem công thức chỉ tiêu chuẩn hàng hóa,Mở công thức chỉ tiêu 
875,875,hãy mở công thức chỉ tiêu mục tiêu,Mở công thức chỉ tiêu 
876,876,hãy xem công thức chỉ tiêu thiết lập,Mở công thức chỉ tiêu 
877,877,hãy mở ct chỉ tiêu nhân viên,Mở công thức chỉ tiêu 
878,878,hãy mở công thức chỉ tiêu hoạt động,Mở công thức chỉ tiêu 
879,879,cung cấp bc ct chỉ tiêu tiếp theo,Mở công thức chỉ tiêu 
880,880,vui lòng xem công thức chỉ tiêu suất ăn,Mở công thức chỉ tiêu 
881,881,hãy mở công thức chỉ tiêu điểm bán hàng,Mở công thức chỉ tiêu 
882,882,hãy xem công thức ct tiến độ,Mở công thức chỉ tiêu 
883,883,hãy mở báo cáo công thức chỉ tiêu lương,Mở công thức chỉ tiêu 
884,884,báo cáo ct chỉ tiêu nhân lực ở đâu,Mở công thức chỉ tiêu 
885,885,mở công thức chỉ tiêu khí hậu,Mở công thức chỉ tiêu 
886,886,hãy xem công thức ct kỹ thuật,Mở công thức chỉ tiêu 
887,887,hãy mở công thức chỉ tiêu ql chất lượng,Mở công thức chỉ tiêu 
888,888,mở bc công thức chỉ tiêu phân tích,Mở công thức chỉ tiêu 
889,889,hãy xem công thức chỉ tiêu năng lượng,Mở công thức chỉ tiêu 
890,890,hãy mở công thức chỉ tiêu ql rủi ro,Mở công thức chỉ tiêu 
891,891,xem ct chỉ tiêu an toàn lao động,Mở công thức chỉ tiêu 
892,892,hãy mở báo cáo công thức ct thuế,Mở công thức chỉ tiêu 
893,893,báo cáo công thức chỉ tiêu muốn xem là báo cáo nào,Mở công thức chỉ tiêu 
894,894,mở công thức chỉ tiêu marketing,Mở công thức chỉ tiêu 
895,895,xem công thức chỉ tiêu vận hành máy móc,Mở công thức chỉ tiêu 
896,896,hãy mở ct chỉ tiêu quá trình sản xuất,Mở công thức chỉ tiêu 
897,897,hãy xem công thức chỉ tiêu phân bổ nguồn lực,Mở công thức chỉ tiêu 
898,898,hãy mở báo cáo công thức chỉ tiêu khách hàng,Mở công thức chỉ tiêu 
899,899,mở ct chỉ tiêu truyền thông,Mở công thức chỉ tiêu 
900,900,mở kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
901,901,xem báo cáo kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
902,902,hiển thị kq liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
903,903,tạo báo cáo kq liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
904,904,đưa ra bc thành tích liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
905,905,chỉ định hiển thị kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
906,906,yêu cầu mở bc kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
907,907,in ra bc kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
908,908,tạo bc kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
909,909,hiển thị báo cáo kq liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
910,910,đưa ra kq liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
911,911,chuyển đến báo cáo kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
912,912,yêu cầu xem kq liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
913,913,mở màn hình hiển thị kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
914,914,truy cập kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
915,915,chọn xem báo cáo kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
916,916,yêu cầu hiển thị kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
917,917,xuất báo cáo kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
918,918,thực hiện việc mở kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
919,919,yêu cầu tạo báo cáo kq liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
920,920,in bc kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
921,921,mở kết quả thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
922,922,xem bảng kq liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
923,923,truy vấn kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
924,924,chọn bc kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
925,925,yêu cầu in kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
926,926,đưa ra kết quả thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
927,927,mở mục kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
928,928,xem báo cáo thành tích liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
929,929,hiển thị kết quả thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
930,930,in báo cáo thành tích liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
931,931,đưa ra báo cáo thành tích liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
932,932,chỉ định hiển thị kết quả thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
933,933,yêu cầu mở mục kq liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
934,934,in ra báo cáo thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
935,935,tạo kq liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
936,936,hiển thị mục kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
937,937,đưa ra kết quả liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
938,938,chuyển đến báo cáo thành tích liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
939,939,yêu cầu xem kết quả thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
940,940,mở màn hình hiển thị kết quả thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
941,941,truy cập kq thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
942,942,chọn xem bc thành tích liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
943,943,yêu cầu hiển thị kết quả thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
944,944,xuất báo cáo thành tích liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
945,945,thực hiện việc mở kết quả thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
946,946,yêu cầu tạo báo cáo thành tích liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
947,947,in báo cáo thống kê liên ngành tháng trước,Mở kết quả liên ngành (tháng n-1)
948,948,mở kết quả liên ngành của tháng trước,Mở kết quả liên ngành (tháng n-1)
949,949,xem báo cáo kết quả liên ngành của tháng trước,Mở kết quả liên ngành (tháng n-1)
950,950,hãy mở bc chăm sóc khách hàng,Mở BC_CSKH
951,951,xin hãy mở báo cáo cskh,Mở BC_CSKH
952,952,vui lòng mở bc chăm sóc khách hàng,Mở BC_CSKH
953,953,bạn có thể mở bc_cskh được không?,Mở BC_CSKH
954,954,mở bc chăm sóc khách hàng lên,Mở BC_CSKH
955,955,hãy mở cskh cho tôi,Mở BC_CSKH
956,956,tôi cần bạn mở bc_cskh,Mở BC_CSKH
957,957,mở báo cáo cskh lên xem,Mở BC_CSKH
958,958,xin mở bc chăm sóc khách hàng,Mở BC_CSKH
959,959,vui lòng mở cskh ra,Mở BC_CSKH
960,960,bạn có thể mở bc_cskh lên được không?,Mở BC_CSKH
961,961,hãy mở bc chăm sóc khách hàng lên xem,Mở BC_CSKH
962,962,xin mở báo cáo cskh ra xem,Mở BC_CSKH
963,963,vui lòng mở bc chăm sóc khách hàng chi tiết,Mở BC_CSKH
964,964,bạn có thể mở cskh ra xem không?,Mở BC_CSKH
965,965,hãy mở bc chăm sóc khách hàng lên xem thử,Mở BC_CSKH
966,966,xin mở bc_cskh lên xem thông tin,Mở BC_CSKH
967,967,vui lòng mở báo cáo cskh ra xem chi tiết,Mở BC_CSKH
968,968,tôi cần bạn mở bc chăm sóc khách hàng ngay,Mở BC_CSKH
969,969,mở cskh nhanh lên,Mở BC_CSKH
970,970,bạn có thể mở bc_cskh ngay không?,Mở BC_CSKH
971,971,mở cskh ngay thôi,Mở BC_CSKH
972,972,xin mở báo cáo cskh ngay lập tức,Mở BC_CSKH
973,973,vui lòng mở bc chăm sóc khách hàng cho tôi ngay,Mở BC_CSKH
974,974,bạn có thể mở cskh ngay không?,Mở BC_CSKH
975,975,hãy mở bc chăm sóc khách hàng ngay,Mở BC_CSKH
976,976,xin mở bc_cskh ngay,Mở BC_CSKH
977,977,vui lòng mở bc cskh ngay,Mở BC_CSKH
978,978,tôi cần bạn mở bc chăm sóc khách hàng ngay,Mở BC_CSKH
979,979,vui lòng mở bc chăm sóc khách hàng xem chi tiết ngay,Mở BC_CSKH
980,980,bạn có thể mở bc_cskh nhé?,Mở BC_CSKH
981,981,hãy mở bc chăm sóc khách hàng xem,Mở BC_CSKH
982,982,xin mở báo cáo cskh xem thông tin,Mở BC_CSKH
983,983,vui lòng mở bc chăm sóc khách hàng xem chi tiết,Mở BC_CSKH
984,984,bạn có thể mở cskh xem không?,Mở BC_CSKH
985,985,hãy mở bc chăm sóc khách hàng xem thử,Mở BC_CSKH
986,986,xin mở bc_cskh xem thông tin,Mở BC_CSKH
987,987,vui lòng mở báo cáo cskh xem chi tiết,Mở BC_CSKH
988,988,tôi cần bạn mở bc chăm sóc khách hàng ngay,Mở BC_CSKH
989,989,mở cskh ngay,Mở BC_CSKH
990,990,bạn có thể mở bc_cskh không?,Mở BC_CSKH
991,991,hãy mở báo cáo chăm sóc khách hàng xem ngay,Mở BC_CSKH
992,992,xin mở báo cáo cskh xem thông tin ngay,Mở BC_CSKH
993,993,vui lòng mở bc chăm sóc khách hàng xem chi tiết ngay,Mở BC_CSKH
994,994,bạn có thể mở cskh xem không?,Mở BC_CSKH
995,995,hãy mở báo cáo chăm sóc khách hàng xem thử ngay,Mở BC_CSKH
996,996,xin mở bc_cskh xem thông tin ngay,Mở BC_CSKH
997,997,vui lòng mở báo cáo cskh xem chi tiết ngay,Mở BC_CSKH
998,998,tôi cần bạn mở bc chăm sóc khách hàng ngay,Mở BC_CSKH
999,999,mở cskh ngay thôi,Mở BC_CSKH
1000,1000,hãy mở báo cáo chi tiết n2 mới,Mở báo cáo chi tiết n2 mới 
1001,1001,vui lòng mở báo cáo chi tiết nờ hai mới,Mở báo cáo chi tiết n2 mới 
1002,1002,xin mở báo cáo chi tiết n 2 mới,Mở báo cáo chi tiết n2 mới 
1003,1003,mong bạn mở báo cáo chi tiết nờ 2 mới,Mở báo cáo chi tiết n2 mới 
1004,1004,mở ngay báo cáo chi tiết n2 mới,Mở báo cáo chi tiết n2 mới 
1005,1005,cần mở báo cáo chi tiết nờ hai mới,Mở báo cáo chi tiết n2 mới 
1006,1006,hãy mở bc chi tiết n2 mới theo yêu cầu cụ thể của chúng tôi,Mở báo cáo chi tiết n2 mới 
1007,1007,vui lòng mở báo cáo chi tiết nờ 2 mới ngay,Mở báo cáo chi tiết n2 mới 
1008,1008,xin mở báo cáo chi tiết n2 mới cho chúng tôi,Mở báo cáo chi tiết n2 mới 
1009,1009,mong bạn mở báo cáo chi tiết nờ hai mới cho chúng tôi,Mở báo cáo chi tiết n2 mới 
1010,1010,mở ngay báo cáo chi tiết n 2 mới cho chúng tôi,Mở báo cáo chi tiết n2 mới 
1011,1011,cần mở báo cáo chi tiết nờ 2 mới cho chúng tôi,Mở báo cáo chi tiết n2 mới 
1012,1012,yêu cầu mở báo cáo chi tiết n2 mới,Mở báo cáo chi tiết n2 mới 
1013,1013,mong bạn mở báo cáo chi tiết nờ hai mới ngay theo yêu cầu của chúng tôi,Mở báo cáo chi tiết n2 mới 
